,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Modakeke,NG,7.38,4.27,69.28,99,83,2.55,broken clouds
317,Karagaylinskiy,RU,54.17,86.55,58.75,93,100,7.05,moderate rain
318,Cabedelo,BR,-6.98,-34.83,73.4,88,15,5.82,light rain
319,Turkistan,KZ,43.0,68.0,58.55,36,0,3.53,clear sky
320,Ossora,RU,59.24,163.07,60.78,67,100,16.42,overcast clouds
321,Pindiga,NG,9.98,10.93,73.08,96,100,4.36,overcast clouds
322,Iquitos,PE,-3.75,-73.25,82.4,83,20,2.04,few clouds
323,Labuhan,ID,-6.88,112.21,79.81,72,2,7.65,clear sky
324,Ahipara,NZ,-35.17,173.17,60.84,81,27,13.2,scattered clouds
325,Tual,ID,-5.67,132.75,78.17,83,0,13.0,clear sky
326,Hendersonville,US,36.3,-86.62,84.2,61,1,3.36,clear sky
327,Mount Gambier,AU,-37.83,140.77,48.2,100,90,8.05,light intensity shower rain
328,Te Anau,NZ,-45.42,167.72,48.79,90,100,1.36,moderate rain
329,Muros,ES,42.78,-9.06,68.0,92,100,15.01,light rain
330,Sarkhej,IN,22.98,72.5,78.8,100,90,5.82,light intensity drizzle
331,Salalah,OM,17.02,54.09,75.96,88,100,6.62,overcast clouds
332,Suzzara,IT,44.99,10.74,71.01,86,0,1.01,light rain
333,Champoton,MX,19.35,-90.72,84.2,74,5,9.17,clear sky
334,Sarangani,PH,5.4,125.46,83.71,71,14,8.79,few clouds
335,Umm Lajj,SA,25.02,37.27,85.73,66,58,10.0,broken clouds
336,Alice Springs,AU,-23.7,133.88,62.6,25,0,10.29,clear sky
337,Clyde River,CA,70.47,-68.59,50.0,87,75,5.82,broken clouds
338,Sovetskiy,RU,61.36,63.58,54.07,94,100,6.93,light rain
339,Srednekolymsk,RU,67.45,153.68,55.38,47,98,4.16,overcast clouds
340,Tondano,ID,1.3,124.91,84.2,54,20,5.59,few clouds
341,Zhigansk,RU,66.77,123.37,52.84,69,61,20.6,broken clouds
342,Wanlaweyn,SO,2.62,44.89,76.19,78,100,14.97,overcast clouds
343,Danielskuil,ZA,-28.19,23.54,27.61,87,0,8.57,clear sky
344,Gibara,CU,21.11,-76.13,78.8,78,75,4.7,broken clouds
345,Bossangoa,CF,6.49,17.46,70.74,96,100,2.24,moderate rain
346,Noumea,NC,-22.28,166.46,77.0,47,0,3.36,clear sky
347,Semnan,IR,35.57,53.4,74.34,41,0,5.93,clear sky
348,Tuy Hoa,VN,13.08,109.3,80.65,79,100,10.45,overcast clouds
349,Santiago,CL,-33.46,-70.65,48.99,81,90,5.82,overcast clouds
350,Mount Isa,AU,-20.73,139.5,80.6,14,2,12.75,clear sky
351,Sabha,LY,27.04,14.43,86.61,21,0,8.66,clear sky
352,Tena,EC,-0.98,-77.82,71.29,85,42,2.98,light rain
353,Marsa Matruh,EG,31.35,27.25,77.0,78,0,5.82,clear sky
354,Tateyama,JP,34.98,139.87,86.0,78,75,10.29,broken clouds
355,Shamary,RU,57.34,58.22,44.22,96,100,12.03,light rain
356,Pato Branco,BR,-26.23,-52.67,60.91,99,100,5.59,heavy intensity rain
