City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Garden City,US,73.99,scattered clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
274,Santa Maria,BR,59.18,light rain,-29.68,-53.81,Hotel Morotin
276,Governador Valadares,BR,69.98,clear sky,-18.85,-41.95,Hotel Panorama
278,Larap,PH,86.09,overcast clouds,14.3,122.65,Mambulao Pacific Resort & Hotel
279,Tayu,ID,80.55,clear sky,-6.54,111.05,Toko pakaian bu is Tayu
280,Saldanha,ZA,42.8,clear sky,-33.01,17.94,Blue Bay Lodge
281,Vao,NC,68.58,clear sky,-22.67,167.48,Hotel Kou-Bugny
282,Wloclawek,PL,62.31,broken clouds,52.65,19.07,Hotel Młyn & SPA
284,Almaty,KZ,53.6,scattered clouds,43.25,76.95,Holiday Inn Almaty
285,Eureka,US,70.0,few clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
286,Yibin,CN,72.82,overcast clouds,28.77,104.62,Handsome Guesthouse
287,Maceio,BR,69.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
288,Labe,GN,65.98,overcast clouds,11.32,-12.28,Hôtel Djamtum
289,Pangnirtung,CA,61.38,overcast clouds,66.15,-65.71,Kilabuk Lodge
290,Grindavik,IS,51.8,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
291,Fortuna,US,73.99,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
292,Tocopilla,CL,55.47,few clouds,-22.09,-70.2,Hotel Galvarino
293,Aklavik,CA,62.6,few clouds,68.22,-135.01,Aklavik Inn
294,Sept-Iles,CA,61.0,moderate rain,50.2,-66.38,Comfort Inn
295,Teguise,ES,73.4,clear sky,29.06,-13.56,B&B La Casona de Nazaret
296,Lompoc,US,80.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
